Time,AccX_f,AccY_f,AccZ_f,GyroX_f,GyroY_f,GyroZ_f,AccX_f_z,AccY_f_z,AccZ_f_z,GyroX_f_z,GyroY_f_z,GyroZ_f_z
0,0.928141310469221,0.344856937415811,0.0931972161164219,0.95974937781565,-0.374028951315969,-0.430608570624007,-1.07327544388737,1.69783261624111,-0.547592712012913,-0.141608729063132,-0.20871031104301,-0.0440572334993231
0.032258064516129,0.928187818187796,0.345071157607545,0.0939722534457133,1.47466302358746,-0.432054330021278,-0.0628216568090384,-1.07271292531135,1.6986246929069,-0.542460761184027,-0.111578532951479,-0.216757714592109,-0.0142119229426139
0.0645161290322581,0.92823442920879,0.34528585977791,0.0947490507862622,1.99074525055543,-0.490212556564073,0.305801415487512,-1.07214915727544,1.69941855168308,-0.537317156347146,-0.0814801842033961,-0.224823542495907,0.015701240516469
0.0967741935483871,0.928281013942155,0.345500439356413,0.0955254006185044,2.50653034221897,-0.548337014662926,0.674211891360482,-1.07158570719275,1.70021195717727,-0.532176514710279,-0.0513991646357244,-0.232884687133492,0.0455971521211583
0.129032258064516,0.928327567904433,0.34571486663356,0.0963011715574801,3.02193207271158,-0.60641627904087,1.04234600874106,-1.07102262929148,1.70100479953897,-0.527039706245915,-0.0213405030133881,-0.240939563960024,0.0754706376831566
0.161290322580645,0.928374152113889,0.345929450492486,0.0970775545338438,3.53773839889366,-0.66454439257155,1.41077325803955,-1.07045918554556,1.70179822085997,-0.521898845143488,0.00874175496923213,-0.249001215560867,0.105367910424077
0.193548387096774,0.928420730195815,0.346144004593136,0.0978538258006437,4.05347068851331,-0.722663873603909,1.77914725711458,-1.06989581591314,1.7025915321501,-0.516758723731869,0.0388196950773748,-0.257061669940784,0.135260861995873
0.225806451612903,0.92846730497127,0.346358510198377,0.098629833853709,4.56903200920064,-0.780757813797724,2.14739115588193,-1.06933248627303,1.70338466412901,-0.511620345203971,0.0688876641338494,-0.265118582121765,0.165143256139059
0.258064516129032,0.928513877633035,0.346573053841936,0.0994061055608266,5.08476288855798,-0.838879872502046,2.51576762935835,-1.06876918219835,1.70417793675416,-0.506480220876765,0.0989655219943102,-0.273179393992955,0.195036408504508
0.290322580645161,0.928560447799877,0.346787589977397,0.100182360618451,5.60048223962412,-0.897001383533882,2.88413682434086,-1.06820590830019,1.70497118161821,-0.501340206795063,0.12904270751515,-0.281240129908734,0.224928970232001
0.32258064516129,0.928607042899899,0.347002137829127,0.100958385993603,6.11606109633846,-0.955087610424607,3.25238092133816,-1.06764233283107,1.70576446980303,-0.496201713568047,0.159111699287442,-0.289295972349817,0.254811380461225
0.354838709677419,0.928653604247998,0.347216660438984,0.101734663587222,6.63179223937178,-1.01321556073344,3.62076504100891,-1.06707916559706,1.70655766465631,-0.49106155026306,0.189189572525707,-0.297357601313806,0.284705153302922
